,gloss_bbox,gloss_instance_id,gloss_split,gloss_video_id,gloss
506,"[161, 50, 520, 400]",8,train,13217,cool
507,"[822, 84, 1608, 1052]",9,test,13198,cool
508,"[609, 80, 1589, 1080]",10,train,13199,cool
509,"[586, 95, 1564, 1080]",11,train,13200,cool
510,"[125, 18, 533, 480]",12,train,13201,cool
511,"[163, 19, 476, 370]",13,val,65402,cool
512,"[114, 30, 509, 480]",14,train,13202,cool
513,"[73, 31, 560, 480]",15,val,13203,cool
514,"[101, 0, 562, 479]",17,train,13205,cool
515,"[608, 85, 1596, 1077]",18,test,13196,cool
516,"[138, 0, 574, 480]",19,train,13206,cool
517,"[9, 0, 320, 240]",20,val,13207,cool
518,"[85, 20, 219, 192]",21,train,13208,cool
519,"[73, 21, 200, 192]",22,train,13209,cool
525,"[232, 15, 533, 414]",6,val,21942,finish
526,"[757, 52, 1564, 1080]",7,train,21943,finish
527,"[734, 126, 1442, 1080]",8,test,21944,finish
528,"[62, 5, 564, 480]",9,train,21945,finish
529,"[70, 0, 571, 480]",10,val,21946,finish
530,"[94, 23, 208, 192]",13,val,21949,finish
531,"[74, 13, 227, 192]",14,train,21950,finish
532,"[136, 14, 521, 370]",15,train,65721,finish
533,"[57, 0, 271, 240]",16,train,21941,finish
535,"[96, 16, 231, 192]",18,train,21951,finish
542,"[284, 42, 886, 720]",1,val,69368,hot
544,"[197, 49, 571, 400]",3,train,28125,hot
545,"[229, 17, 521, 414]",4,train,28108,hot
546,"[351, 11, 818, 480]",5,train,28109,hot
547,"[657, 78, 1430, 1080]",6,train,28110,hot
548,"[544, 128, 1596, 1080]",7,train,28111,hot
549,"[61, 4, 500, 480]",8,val,28112,hot
550,"[114, 9, 538, 480]",9,train,28113,hot
551,"[116, 18, 519, 480]",10,train,28114,hot
552,"[65, 9, 207, 192]",11,train,28115,hot
553,"[64, 11, 221, 192]",12,train,28116,hot
554,"[51, 0, 250, 240]",13,train,28107,hot
562,"[344, 36, 876, 720]",0,test,69389,like
563,"[68, 3, 234, 240]",1,train,33266,like
566,"[189, 57, 540, 400]",4,train,33285,like
567,"[408, 49, 805, 720]",5,train,33267,like
568,"[184, 61, 541, 400]",6,test,33286,like
569,"[237, 13, 584, 360]",7,val,33268,like
570,"[132, 0, 506, 477]",8,train,33269,like
571,"[114, 0, 523, 480]",9,val,33270,like
572,"[152, 0, 567, 480]",10,val,33271,like
573,"[70, 11, 209, 192]",12,train,33273,like
574,"[73, 14, 213, 192]",13,train,33274,like
584,"[374, 52, 902, 720]",1,val,69396,many
586,"[26, 4, 278, 240]",3,train,34823,many
587,"[426, 54, 796, 720]",4,train,34824,many
588,"[552, 55, 1533, 1080]",5,train,34825,many
589,"[659, 80, 1618, 1072]",6,train,34826,many
590,"[124, 0, 523, 480]",7,train,34827,many
591,"[69, 0, 575, 480]",8,val,34828,many
592,"[82, 0, 608, 480]",9,train,34829,many
593,"[82, 14, 221, 192]",10,train,34830,many
594,"[84, 11, 230, 192]",11,train,34831,many
596,"[86, 12, 228, 192]",13,train,34832,many
603,"[223, 39, 471, 400]",20,train,34839,many
605,"[172, 21, 476, 480]",1,val,69402,mother
607,"[218, 38, 468, 400]",3,train,36946,mother
608,"[214, 17, 520, 414]",4,train,36930,mother
609,"[715, 59, 1630, 1071]",5,train,36931,mother
610,"[205, 17, 588, 360]",6,train,36932,mother
611,"[150, 0, 502, 480]",7,train,36933,mother
612,"[38, 3, 278, 240]",8,val,36934,mother
613,"[69, 16, 210, 192]",9,train,36936,mother
614,"[72, 18, 210, 192]",10,train,36937,mother
616,"[136, 27, 465, 370]",12,train,66147,mother
617,"[190, 13, 462, 370]",13,train,66146,mother
618,"[48, 0, 263, 240]",14,train,36929,mother
626,"[340, 40, 954, 720]",1,val,69413,now
627,"[251, 12, 761, 480]",2,val,38994,now
632,"[85, 19, 229, 192]",8,train,38999,now
633,"[64, 12, 213, 192]",9,val,39000,now
637,"[58, 2, 262, 240]",13,train,38990,now
641,"[200, 52, 569, 400]",17,train,39006,now
642,"[46, 1, 273, 240]",18,test,38991,now
643,"[124, 0, 532, 480]",19,train,38995,now
644,"[106, 0, 561, 480]",21,train,38996,now
645,"[78, 20, 219, 192]",22,train,38997,now
647,"[363, 40, 871, 720]",1,val,69422,orange
651,"[82, 32, 233, 240]",6,train,40115,orange
652,"[223, 16, 527, 414]",7,train,40116,orange
653,"[910, 68, 1734, 1056]",8,train,40117,orange
654,"[140, 0, 497, 480]",9,val,40118,orange
655,"[140, 0, 497, 480]",10,train,40119,orange
656,"[42, 15, 262, 240]",11,train,40120,orange
657,"[81, 10, 222, 192]",12,train,40121,orange
660,"[146, 2, 484, 370]",15,train,66246,orange
665,"[175, 50, 531, 400]",22,train,40129,orange
666,"[175, 50, 531, 400]",23,train,40130,orange
672,"[558, 75, 1619, 1080]",6,train,56557,table
676,"[159, 60, 542, 400]",10,train,56579,table
677,"[88, 0, 599, 480]",11,train,56558,table
678,"[374, 52, 810, 720]",13,train,56556,table
679,"[40, 0, 536, 480]",14,train,56560,table
680,"[65, 18, 213, 192]",17,train,56563,table
691,"[79, 10, 242, 180]",4,val,57628,thanksgiving
692,"[171, 50, 538, 400]",5,train,57647,thanksgiving
693,"[41, 13, 251, 240]",6,val,57629,thanksgiving
694,"[402, 56, 823, 720]",7,train,57630,thanksgiving
695,"[406, 54, 825, 720]",8,train,57631,thanksgiving
696,"[689, 87, 1577, 1074]",9,train,57632,thanksgiving
697,"[131, 0, 560, 480]",10,train,57633,thanksgiving
698,"[121, 31, 528, 480]",11,train,57634,thanksgiving
700,"[150, 24, 521, 480]",13,train,57635,thanksgiving
701,"[77, 0, 582, 480]",14,train,57636,thanksgiving
702,"[82, 0, 547, 480]",15,test,57637,thanksgiving
703,"[94, 19, 238, 192]",16,train,57638,thanksgiving
704,"[66, 15, 209, 192]",17,val,57639,thanksgiving
705,"[65, 16, 209, 192]",18,test,57640,thanksgiving
706,"[64, 16, 214, 192]",19,train,57641,thanksgiving
710,"[155, 34, 1067, 720]",1,val,69531,what
712,"[766, 98, 1727, 1080]",5,test,62967,what
713,"[333, 61, 1614, 1080]",7,train,62968,what
715,"[78, 9, 560, 480]",11,train,62970,what
717,"[181, 0, 501, 360]",13,train,62971,what
718,"[173, 7, 480, 370]",14,train,66769,what
721,"[166, 0, 520, 360]",19,train,62973,what
722,"[159, 58, 577, 400]",20,test,62987,what
723,"[50, 0, 280, 240]",21,train,62964,what
725,"[185, 61, 560, 400]",24,val,62988,what
726,"[52, 24, 246, 192]",25,test,62975,what
727,"[179, 13, 606, 414]",27,val,62965,what
728,"[77, 2, 231, 192]",28,train,62979,what
729,"[509, 75, 1631, 1080]",29,train,62966,what
733,"[231, 38, 486, 400]",3,train,63679,woman
734,"[215, 16, 525, 414]",4,train,63665,woman
735,"[216, 15, 525, 414]",5,train,63666,woman
736,"[664, 83, 1585, 1072]",6,train,63667,woman
737,"[913, 49, 1738, 1071]",7,train,63668,woman
738,"[81, 14, 511, 480]",8,val,63669,woman
739,"[87, 0, 483, 480]",9,train,63670,woman
740,"[94, 0, 507, 480]",10,train,63671,woman
741,"[71, 14, 215, 192]",11,train,63672,woman
742,"[78, 14, 234, 192]",12,train,63673,woman
743,"[188, 8, 488, 370]",13,train,66798,woman
744,"[167, 2, 479, 370]",14,train,66799,woman
745,"[33, 0, 294, 240]",15,test,63664,woman
753,"[170, 52, 534, 400]",2,train,05644,bed
754,"[64, 12, 265, 240]",3,train,05629,bed
755,"[413, 57, 807, 720]",4,train,05630,bed
756,"[617, 68, 1584, 1080]",5,train,05631,bed
757,"[639, 79, 1541, 1080]",6,train,05632,bed
758,"[697, 82, 1644, 1068]",7,train,05633,bed
759,"[126, 20, 533, 480]",8,train,05634,bed
760,"[131, 14, 512, 480]",9,train,05635,bed
761,"[72, 23, 218, 192]",10,train,05636,bed
762,"[217, 31, 465, 370]",11,train,65162,bed
763,"[74, 18, 192, 192]",12,train,05637,bed
764,"[199, 0, 510, 370]",13,val,65163,bed
765,"[188, 5, 495, 370]",14,train,65161,bed
767,"[72, 17, 219, 192]",16,train,05638,bed
772,"[257, 39, 881, 720]",1,val,69238,blue
775,"[125, 26, 528, 480]",4,train,06835,blue
776,"[40, 19, 302, 240]",5,train,06836,blue
777,"[52, 17, 278, 240]",6,train,06837,blue
778,"[52, 20, 268, 240]",7,train,06838,blue
779,"[90, 21, 213, 192]",8,train,06839,blue
782,"[158, 24, 482, 370]",11,train,65216,blue
783,"[41, 0, 232, 240]",12,train,06832,blue
788,"[232, 39, 483, 400]",17,test,06845,blue
789,"[225, 18, 519, 414]",18,train,06833,blue
790,"[188, 0, 794, 720]",19,train,06834,blue
793,"[424, 56, 833, 720]",2,train,07389,bowling
794,"[737, 142, 1494, 1080]",3,train,07390,bowling
795,"[685, 146, 1545, 1080]",4,train,07391,bowling
796,"[627, 134, 1450, 1069]",5,train,07392,bowling
797,"[428, 47, 1680, 1080]",6,train,07393,bowling
798,"[106, 23, 557, 480]",7,train,07394,bowling
799,"[32, 10, 264, 240]",8,train,07395,bowling
800,"[57, 13, 264, 240]",9,train,07396,bowling
801,"[69, 12, 217, 192]",10,train,07397,bowling
802,"[179, 18, 530, 370]",11,train,65242,bowling
803,"[159, 26, 477, 370]",12,train,65241,bowling
804,"[55, 13, 258, 240]",13,val,07388,bowling
806,"[84, 17, 226, 192]",15,val,07398,bowling
807,"[68, 10, 222, 192]",16,train,07399,bowling
808,"[89, 9, 213, 192]",17,test,07400,bowling
811,"[285, 31, 964, 720]",0,test,69257,can
812,"[137, 15, 500, 370]",1,val,65294,can
817,"[163, 54, 555, 400]",8,train,08955,can
818,"[434, 54, 814, 720]",9,train,08935,can
819,"[201, 5, 823, 480]",10,train,08936,can
820,"[69, 17, 552, 480]",11,train,08937,can
821,"[110, 29, 555, 480]",13,train,08938,can
822,"[50, 6, 534, 480]",14,train,08939,can
823,"[76, 18, 237, 192]",17,train,08942,can
825,"[70, 18, 217, 192]",20,train,08944,can
832,"[356, 40, 877, 720]",1,train,69298,dog
835,"[133, 62, 585, 400]",4,test,17097,dog
836,"[53, 0, 229, 240]",5,train,17084,dog
837,"[225, 18, 521, 414]",6,train,17085,dog
838,"[417, 61, 834, 720]",7,train,17086,dog
839,"[101, 15, 546, 480]",8,train,17087,dog
840,"[74, 0, 572, 480]",9,train,17088,dog
841,"[91, 22, 203, 192]",11,train,17090,dog
842,"[105, 20, 213, 192]",12,train,17091,dog
844,"[175, 16, 496, 370]",15,test,65506,dog
845,"[146, 18, 475, 370]",16,train,65507,dog
846,"[53, 0, 233, 240]",17,val,17083,dog
852,"[334, 15, 960, 720]",1,val,69316,family
854,"[218, 18, 529, 414]",3,train,20980,family
855,"[307, 9, 790, 480]",4,train,20981,family
856,"[688, 43, 1555, 1080]",5,train,20982,family
857,"[60, 0, 557, 480]",6,train,20983,family
858,"[50, 0, 546, 480]",7,train,20984,family
859,"[66, 0, 561, 480]",8,train,20985,family
860,"[84, 12, 218, 192]",9,train,20986,family
861,"[79, 13, 210, 192]",10,train,20987,family
862,"[167, 31, 467, 370]",11,train,65677,family
863,"[63, 7, 227, 180]",12,train,20978,family
869,"[217, 35, 489, 400]",18,train,20992,family
870,"[69, 0, 259, 240]",19,train,20979,family
872,"[311, 0, 1071, 720]",1,train,69325,fish
874,"[166, 52, 551, 400]",5,train,22130,fish
875,"[55, 13, 265, 240]",6,val,22114,fish
876,"[403, 57, 843, 720]",7,train,22115,fish
877,"[710, 70, 1594, 1070]",8,train,22116,fish
878,"[36, 9, 540, 480]",9,test,22117,fish
879,"[57, 2, 561, 480]",10,train,22118,fish
880,"[116, 0, 464, 360]",11,train,22119,fish
881,"[73, 14, 221, 192]",12,train,22120,fish
882,"[74, 16, 221, 192]",13,train,22121,fish
883,"[160, 18, 467, 370]",14,train,65731,fish
884,"[98, 12, 236, 180]",16,val,22113,fish
896,"[175, 60, 532, 400]",5,train,25339,graduate
897,"[431, 59, 827, 720]",6,train,25322,graduate
898,"[538, 131, 1504, 1071]",7,train,25323,graduate
899,"[586, 116, 1418, 1080]",8,train,25324,graduate
900,"[575, 117, 1467, 1080]",9,train,25325,graduate
901,"[35, 0, 547, 480]",10,train,25326,graduate
902,"[57, 0, 267, 240]",11,train,25327,graduate
903,"[63, 1, 270, 240]",12,train,25328,graduate
904,"[171, 39, 485, 370]",13,val,65843,graduate
905,"[74, 15, 214, 192]",14,train,25329,graduate
906,"[63, 11, 212, 192]",15,val,25330,graduate
907,"[51, 4, 251, 240]",16,train,25321,graduate
912,"[147, 5, 566, 480]",1,val,69359,hat
915,"[334, 31, 813, 720]",7,train,26713,hat
917,"[32, 0, 273, 240]",14,train,26712,hat
918,"[203, 39, 485, 400]",16,train,26739,hat
919,"[137, 29, 544, 400]",18,train,26741,hat
920,"[698, 74, 1615, 1066]",19,train,26714,hat
921,"[26, 0, 542, 480]",21,train,26715,hat
